shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10180,51.052002,-113.941285,10001,0.000
10180,51.052017,-113.941298,10002,0.002
10180,51.052050,-113.941350,10003,0.007
10180,51.052061,-113.941391,10004,0.010
10180,51.052065,-113.941431,10005,0.013
10180,51.052068,-113.941839,10006,0.042
10180,51.051710,-113.941837,10007,0.081
10180,51.051470,-113.941838,10008,0.108
10180,51.050886,-113.941837,10009,0.173
10180,51.050529,-113.941837,10010,0.213
10180,51.050436,-113.941839,10011,0.223
10180,51.050321,-113.941838,10012,0.236
10180,51.050321,-113.941838,20001,0.236
10180,51.049796,-113.941837,20002,0.294
10180,51.049547,-113.941841,20003,0.322
10180,51.049223,-113.941838,20004,0.358
10180,51.048830,-113.941840,20005,0.402
10180,51.048694,-113.941837,20006,0.417
10180,51.048546,-113.941838,20007,0.433
10180,51.047966,-113.941838,20008,0.498
10180,51.047966,-113.941838,30001,0.498
10180,51.047705,-113.941838,30002,0.527
10180,51.046985,-113.941838,30003,0.607
10180,51.046911,-113.941842,30004,0.615
10180,51.046827,-113.941856,30005,0.625
10180,51.046802,-113.941868,30006,0.628
10180,51.046784,-113.941879,30007,0.630
10180,51.046264,-113.942126,30008,0.690
10180,51.045843,-113.942654,30009,0.750
10180,51.045664,-113.943049,30010,0.784
10180,51.045664,-113.943049,40001,0.784
10180,51.045537,-113.943329,40002,0.808
10180,51.045311,-113.944195,40003,0.874
10180,51.045206,-113.944941,40004,0.927
10180,51.045212,-113.946683,40005,1.050
10180,51.045212,-113.946683,50001,1.050
10180,51.045212,-113.946954,50002,1.069
10180,51.045187,-113.949678,50003,1.260
10180,51.045188,-113.950978,50004,1.351
10180,51.044776,-113.950968,50005,1.397
10180,51.044776,-113.950968,60001,1.397
10180,51.044722,-113.950967,60002,1.403
10180,51.043607,-113.950948,60003,1.527
10180,51.043193,-113.950948,60004,1.573
10180,51.041977,-113.950949,60005,1.708
10180,51.041633,-113.951010,60006,1.747
10180,51.041376,-113.951139,60007,1.777
10180,51.041198,-113.951368,60008,1.802
10180,51.041052,-113.951693,60009,1.830
10180,51.041052,-113.951693,70001,1.830
10180,51.041037,-113.951727,70002,1.833
10180,51.040972,-113.952231,70003,1.869
10180,51.040973,-113.953108,70004,1.931
10180,51.040973,-113.954328,70005,2.016
10180,51.040974,-113.954728,70006,2.044
10180,51.040974,-113.954728,80001,2.044
10180,51.040973,-113.955582,80002,2.104
10180,51.040965,-113.956191,80003,2.147
10180,51.040959,-113.956946,80004,2.200
10180,51.040953,-113.957621,80005,2.248
10180,51.040950,-113.957725,80006,2.255
10180,51.040949,-113.958295,80007,2.295
10180,51.040947,-113.958383,80008,2.301
10180,51.040551,-113.958384,80009,2.345
10180,51.040551,-113.958384,90001,2.345
10180,51.040516,-113.958383,90002,2.349
10180,51.040003,-113.958380,90003,2.406
10180,51.039776,-113.958382,90004,2.431
10180,51.039590,-113.958387,90005,2.452
10180,51.039396,-113.958401,90006,2.473
10180,51.039083,-113.958403,90007,2.508
10180,51.038717,-113.958401,90008,2.549
10180,51.038480,-113.958412,90009,2.575
10180,51.038447,-113.958417,90010,2.579
10180,51.038225,-113.958421,90011,2.604
10180,51.038098,-113.958426,90012,2.618
10180,51.037899,-113.958419,90013,2.640
10180,51.037855,-113.958418,90014,2.645
10180,51.037855,-113.958502,90015,2.651
10180,51.037855,-113.958837,90016,2.674
10180,51.037852,-113.959492,90017,2.720
10180,51.037853,-113.959516,90018,2.722
