route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
36-20781,2026MA-1BUSSA-Saturday-03,73245610,"RIVERBEND",0,7062373,360037
36-20781,2026MA-1BUSSA-Saturday-03,73245611,"RIVERBEND",0,7062373,360037
36-20781,2026MA-1BUSSA-Saturday-03,73245612,"RIVERBEND",0,7062373,360037
36-20781,2026MA-1BUSSA-Saturday-03,73245613,"RIVERBEND",0,7062373,360037
36-20781,2026MA-1BUSSA-Saturday-03,73245614,"RIVERBEND",0,7062373,360037
36-20781,2026MA-1BUSSA-Saturday-03,73245615,"RIVERBEND",0,7062373,360037
36-20781,2026MA-1BUSSA-Saturday-03,73245616,"RIVERBEND",0,7062373,360037
36-20781,2026MA-1BUSSA-Saturday-03,73245617,"RIVERBEND",0,7062373,360037
36-20781,2026MA-1BUSSA-Saturday-03,73245618,"RIVERBEND",0,7062373,360037
36-20781,2026MA-1BUSSA-Saturday-03,73245619,"RIVERBEND",0,7062373,360037
41-20781,2026MA-1BUSSA-Saturday-03,73245620,"LYNNWOOD",0,7062371,410053
41-20781,2026MA-1BUSSA-Saturday-03,73245621,"LYNNWOOD",0,7062371,410053
41-20781,2026MA-1BUSSA-Saturday-03,73245622,"LYNNWOOD",0,7062371,410053
41-20781,2026MA-1BUSSA-Saturday-03,73245623,"LYNNWOOD",0,7062371,410053
41-20781,2026MA-1BUSSA-Saturday-03,73245624,"LYNNWOOD",0,7062371,410053
41-20781,2026MA-1BUSSA-Saturday-03,73245625,"LYNNWOOD",0,7062371,410053
41-20781,2026MA-1BUSSA-Saturday-03,73245626,"LYNNWOOD",0,7062371,410053
41-20781,2026MA-1BUSSA-Saturday-03,73245627,"LYNNWOOD",0,7062371,410053
41-20781,2026MA-1BUSSA-Saturday-03,73245628,"LYNNWOOD",0,7062371,410053
41-20781,2026MA-1BUSSA-Saturday-03,73245629,"LYNNWOOD",0,7062371,410053
41-20781,2026MA-1BUSSA-Saturday-03,73245630,"LYNNWOOD",0,7062371,410053
41-20781,2026MA-1BUSSA-Saturday-03,73245631,"LYNNWOOD",0,7062371,410053
41-20781,2026MA-1BUSSA-Saturday-03,73245632,"LYNNWOOD",0,7062371,410053
41-20781,2026MA-1BUSSA-Saturday-03,73245633,"LYNNWOOD",0,7062371,410053
41-20781,2026MA-1BUSSA-Saturday-03,73245634,"LYNNWOOD",0,7062371,410053
28-20781,2026MA-1BUSSA-Saturday-03,73245635,"DEER RUN",0,7062397,280017
28-20781,2026MA-1BUSSA-Saturday-03,73245636,"DEER RUN",0,7062397,280017
28-20781,2026MA-1BUSSA-Saturday-03,73245637,"DEER RUN",0,7062397,280017
28-20781,2026MA-1BUSSA-Saturday-03,73245638,"DEER RUN",0,7062397,280017
28-20781,2026MA-1BUSSA-Saturday-03,73245639,"DEER RUN",0,7062397,280017
28-20781,2026MA-1BUSSA-Saturday-03,73245640,"DEER RUN",0,7062397,280017
28-20781,2026MA-1BUSSA-Saturday-03,73245641,"DEER RUN",0,7062397,280017
28-20781,2026MA-1BUSSA-Saturday-03,73245642,"DEER RUN",0,7062397,280017
28-20781,2026MA-1BUSSA-Saturday-03,73245643,"DEER RUN",0,7062397,280017
83-20781,2026MA-1BUSSA-Saturday-03,73245644,"PARKLAND",0,7062397,830014
83-20781,2026MA-1BUSSA-Saturday-03,73245645,"PARKLAND",0,7062397,830014
83-20781,2026MA-1BUSSA-Saturday-03,73245646,"PARKLAND",0,7062397,830014
83-20781,2026MA-1BUSSA-Saturday-03,73245647,"PARKLAND",0,7062397,830014
83-20781,2026MA-1BUSSA-Saturday-03,73245648,"PARKLAND",0,7062397,830014
83-20781,2026MA-1BUSSA-Saturday-03,73245649,"PARKLAND",0,7062397,830014
83-20781,2026MA-1BUSSA-Saturday-03,73245650,"PARKLAND",0,7062397,830014
83-20781,2026MA-1BUSSA-Saturday-03,73245651,"PARKLAND",0,7062397,830014
41-20781,2026MA-1BUSSA-Saturday-03,73245652,"LYNNWOOD",0,7062371,410053
41-20781,2026MA-1BUSSA-Saturday-03,73245653,"LYNNWOOD",0,7062371,410053
41-20781,2026MA-1BUSSA-Saturday-03,73245654,"LYNNWOOD",0,7062371,410053
41-20781,2026MA-1BUSSA-Saturday-03,73245655,"LYNNWOOD",0,7062371,410054
36-20781,2026MA-1BUSSA-Saturday-03,73245656,"RIVERBEND",0,7062373,360037
36-20781,2026MA-1BUSSA-Saturday-03,73245657,"RIVERBEND",0,7062373,360037
36-20781,2026MA-1BUSSA-Saturday-03,73245658,"RIVERBEND",0,7062373,360037
36-20781,2026MA-1BUSSA-Saturday-03,73245659,"RIVERBEND",0,7062373,360037
36-20781,2026MA-1BUSSA-Saturday-03,73245660,"RIVERBEND",0,7062373,360037
36-20781,2026MA-1BUSSA-Saturday-03,73245661,"RIVERBEND",0,7062373,360037
